ticker,title,publisher,link,providerPublishTime,type,collected_at,category
LIN,,,,,,2025-10-23 17:00:19.615194,Materials
LIN,,,,,,2025-10-23 17:00:19.615197,Materials
LIN,,,,,,2025-10-23 17:00:19.615199,Materials
LIN,,,,,,2025-10-23 17:00:19.615201,Materials
NEE,,,,,,2025-10-23 17:00:19.724869,Utilities
NEE,,,,,,2025-10-23 17:00:19.724880,Utilities
NEE,,,,,,2025-10-23 17:00:19.724882,Utilities
NEE,,,,,,2025-10-23 17:00:19.724885,Utilities
NEE,,,,,,2025-10-23 17:00:19.724886,Utilities
NEE,,,,,,2025-10-23 17:00:19.724888,Utilities
NEE,,,,,,2025-10-23 17:00:19.724890,Utilities
NEE,,,,,,2025-10-23 17:00:19.724892,Utilities
NEE,,,,,,2025-10-23 17:00:19.724893,Utilities
NEE,,,,,,2025-10-23 17:00:19.724895,Utilities
PLD,,,,,,2025-10-23 17:00:19.850460,Real Estate
PLD,,,,,,2025-10-23 17:00:19.850470,Real Estate
PLD,,,,,,2025-10-23 17:00:19.850472,Real Estate
PLD,,,,,,2025-10-23 17:00:19.850474,Real Estate
PLD,,,,,,2025-10-23 17:00:19.850475,Real Estate
PLD,,,,,,2025-10-23 17:00:19.850477,Real Estate
PLD,,,,,,2025-10-23 17:00:19.850479,Real Estate
PLD,,,,,,2025-10-23 17:00:19.850480,Real Estate
PLD,,,,,,2025-10-23 17:00:19.850482,Real Estate
PLD,,,,,,2025-10-23 17:00:19.850485,Real Estate
VTI,,,,,,2025-10-23 17:00:19.962632,Broad Market ETF
VTI,,,,,,2025-10-23 17:00:19.962649,Broad Market ETF
VTI,,,,,,2025-10-23 17:00:19.962652,Broad Market ETF
VTI,,,,,,2025-10-23 17:00:19.962654,Broad Market ETF
VTI,,,,,,2025-10-23 17:00:19.962656,Broad Market ETF
VTI,,,,,,2025-10-23 17:00:19.962658,Broad Market ETF
VTI,,,,,,2025-10-23 17:00:19.962660,Broad Market ETF
VTI,,,,,,2025-10-23 17:00:19.962661,Broad Market ETF
VTI,,,,,,2025-10-23 17:00:19.962663,Broad Market ETF
VTI,,,,,,2025-10-23 17:00:19.962665,Broad Market ETF
SCHB,,,,,,2025-10-23 17:00:20.049920,Broad Market ETF
SPY,,,,,,2025-10-23 17:00:20.234957,Broad Market ETF
SPY,,,,,,2025-10-23 17:00:20.234967,Broad Market ETF
SPY,,,,,,2025-10-23 17:00:20.234969,Broad Market ETF
SPY,,,,,,2025-10-23 17:00:20.234971,Broad Market ETF
SPY,,,,,,2025-10-23 17:00:20.234972,Broad Market ETF
SPY,,,,,,2025-10-23 17:00:20.234975,Broad Market ETF
SPY,,,,,,2025-10-23 17:00:20.234976,Broad Market ETF
SPY,,,,,,2025-10-23 17:00:20.234978,Broad Market ETF
SPY,,,,,,2025-10-23 17:00:20.234982,Broad Market ETF
SPY,,,,,,2025-10-23 17:00:20.234983,Broad Market ETF
VOO,,,,,,2025-10-23 17:00:20.352899,Broad Market ETF
VOO,,,,,,2025-10-23 17:00:20.352909,Broad Market ETF
VOO,,,,,,2025-10-23 17:00:20.352910,Broad Market ETF
VOO,,,,,,2025-10-23 17:00:20.352912,Broad Market ETF
VOO,,,,,,2025-10-23 17:00:20.352914,Broad Market ETF
VOO,,,,,,2025-10-23 17:00:20.352916,Broad Market ETF
VOO,,,,,,2025-10-23 17:00:20.352917,Broad Market ETF
VOO,,,,,,2025-10-23 17:00:20.352919,Broad Market ETF
VOO,,,,,,2025-10-23 17:00:20.352923,Broad Market ETF
VOO,,,,,,2025-10-23 17:00:20.352925,Broad Market ETF
IVV,,,,,,2025-10-23 17:00:20.455491,Broad Market ETF
IVV,,,,,,2025-10-23 17:00:20.455498,Broad Market ETF
IVV,,,,,,2025-10-23 17:00:20.455500,Broad Market ETF
IVV,,,,,,2025-10-23 17:00:20.455501,Broad Market ETF
IVV,,,,,,2025-10-23 17:00:20.455502,Broad Market ETF
IVV,,,,,,2025-10-23 17:00:20.455503,Broad Market ETF
IVV,,,,,,2025-10-23 17:00:20.455504,Broad Market ETF
IVV,,,,,,2025-10-23 17:00:20.455505,Broad Market ETF
IVV,,,,,,2025-10-23 17:00:20.455506,Broad Market ETF
IVV,,,,,,2025-10-23 17:00:20.455507,Broad Market ETF
QQQ,,,,,,2025-10-23 17:00:20.561372,Technology ETF
QQQ,,,,,,2025-10-23 17:00:20.561379,Technology ETF
QQQ,,,,,,2025-10-23 17:00:20.561380,Technology ETF
QQQ,,,,,,2025-10-23 17:00:20.561381,Technology ETF
QQQ,,,,,,2025-10-23 17:00:20.561382,Technology ETF
